relation1,attribute1,relation2,attribute2,frequency
hasSleeveType,short-sleeve,hasFabricTreatment,washed,1
hasNeckline,v-neck,hasFabricTreatment,washed,1
hasLength,above the knee,hasFabricTreatment,washed,1
hasWaistline,natural,hasFabricTreatment,washed,1
hasSilhouette,a-line,hasFabricTreatment,washed,1
belongsToCategory,upperbody,hasFabricTreatment,washed,1
depicts,bra,hasFabricTreatment,washed,1
hasFabricTreatment,washed,hasMaterialType,cotton,1
hasLength,above the knee,hasMaterialType,cotton,1
hasPattern,polka-dot,hasOpeningType,button,1
hasFabricTreatment,washed,hasOpeningType,button,1
hasLength,above the knee,hasOpeningType,button,1
hasFabricTreatment,washed,hasSleeveType,short-sleeve,1
hasLength,above the knee,hasSleeveType,short-sleeve,1
hasFabricTreatment,washed,hasNeckline,v-neck,1
hasLength,above the knee,hasNeckline,v-neck,1
hasPattern,polka-dot,hasLength,above the knee,1
hasFabricTreatment,washed,hasLength,above the knee,1
hasMaterialType,cotton,hasLength,above the knee,1
hasOpeningType,button,hasLength,above the knee,1
hasSleeveType,short-sleeve,hasLength,above the knee,1
hasNeckline,v-neck,hasLength,above the knee,1
hasWaistline,natural,hasLength,above the knee,1
hasSilhouette,a-line,hasLength,above the knee,1
belongsToCategory,upperbody,hasLength,above the knee,1
depicts,bra,hasLength,above the knee,1
hasFabricTreatment,washed,hasWaistline,natural,1
hasLength,above the knee,hasWaistline,natural,1
hasPattern,polka-dot,hasSilhouette,a-line,1
hasFabricTreatment,washed,hasSilhouette,a-line,1
hasLength,above the knee,hasSilhouette,a-line,1
hasFabricTreatment,washed,belongsToCategory,upperbody,1
hasLength,above the knee,belongsToCategory,upperbody,1
hasPattern,polka-dot,depicts,bra,1
hasFabricTreatment,washed,depicts,bra,1
hasLength,above the knee,depicts,bra,1
hasOpeningType,zipper,hasPattern,floral,1
hasLength,mid-thigh,hasPattern,floral,1
hasLength,mid-thigh,hasMaterialType,cotton,1
hasPattern,floral,hasOpeningType,zipper,1
hasLength,mid-thigh,hasOpeningType,zipper,1
hasSilhouette,a-line,hasOpeningType,zipper,1
hasLength,mid-thigh,hasSleeveType,sleeveless,1
hasLength,mid-thigh,hasNeckline,v-neck,1
hasPattern,floral,hasLength,mid-thigh,1
hasMaterialType,cotton,hasLength,mid-thigh,1
hasOpeningType,zipper,hasLength,mid-thigh,1
hasSleeveType,sleeveless,hasLength,mid-thigh,1
hasNeckline,v-neck,hasLength,mid-thigh,1
hasWaistline,natural,hasLength,mid-thigh,1
hasSilhouette,a-line,hasLength,mid-thigh,1
belongsToCategory,upperbody,hasLength,mid-thigh,1
depicts,bra,hasLength,mid-thigh,1
hasLength,mid-thigh,hasWaistline,natural,1
hasOpeningType,zipper,hasSilhouette,a-line,1
hasLength,mid-thigh,hasSilhouette,a-line,1
hasLength,mid-thigh,belongsToCategory,upperbody,1
hasLength,mid-thigh,depicts,bra,1
hasFabricTreatment,stretchy,hasPattern,floral lace,1
hasLeatherType,non-existent,hasPattern,floral lace,1
hasMaterialType,lace and lycra,hasPattern,floral lace,1
hasOpeningType,back closure,hasPattern,floral lace,1
hasPocketType,non-existent,hasPattern,floral lace,1
hasSleeveType,sleeveless,hasPattern,floral lace,1
hasNeckline,sweetheart,hasPattern,floral lace,1
hasLapelType,non-existent,hasPattern,floral lace,1
hasCollarType,non-existent,hasPattern,floral lace,1
hasLength,fitted,hasPattern,floral lace,1
hasWaistline,natural,hasPattern,floral lace,1
hasSilhouette,push-up,hasPattern,floral lace,1
belongsToCategory,upperbody,hasPattern,floral lace,1
depicts,bra,hasPattern,floral lace,1
hasPattern,floral lace,hasFabricTreatment,stretchy,1
hasLeatherType,non-existent,hasFabricTreatment,stretchy,1
hasMaterialType,lace and lycra,hasFabricTreatment,stretchy,1
hasPocketType,non-existent,hasFabricTreatment,stretchy,1
hasLapelType,non-existent,hasFabricTreatment,stretchy,1
hasCollarType,non-existent,hasFabricTreatment,stretchy,1
hasLength,fitted,hasFabricTreatment,stretchy,1
hasSilhouette,push-up,hasFabricTreatment,stretchy,1
hasPattern,floral lace,hasLeatherType,non-existent,1
hasFabricTreatment,stretchy,hasLeatherType,non-existent,1
hasMaterialType,lace and lycra,hasLeatherType,non-existent,1
hasOpeningType,back closure,hasLeatherType,non-existent,1
hasSleeveType,sleeveless,hasLeatherType,non-existent,1
hasNeckline,sweetheart,hasLeatherType,non-existent,1
hasLength,fitted,hasLeatherType,non-existent,1
hasWaistline,natural,hasLeatherType,non-existent,1
hasSilhouette,push-up,hasLeatherType,non-existent,1
belongsToCategory,upperbody,hasLeatherType,non-existent,1
depicts,bra,hasLeatherType,non-existent,1
hasPattern,floral lace,hasMaterialType,lace and lycra,1
hasFabricTreatment,stretchy,hasMaterialType,lace and lycra,1
hasLeatherType,non-existent,hasMaterialType,lace and lycra,1
hasOpeningType,back closure,hasMaterialType,lace and lycra,1
hasPocketType,non-existent,hasMaterialType,lace and lycra,1
hasSleeveType,sleeveless,hasMaterialType,lace and lycra,1
hasNeckline,sweetheart,hasMaterialType,lace and lycra,1
hasLapelType,non-existent,hasMaterialType,lace and lycra,1
hasCollarType,non-existent,hasMaterialType,lace and lycra,1
hasLength,fitted,hasMaterialType,lace and lycra,1
hasWaistline,natural,hasMaterialType,lace and lycra,1
hasSilhouette,push-up,hasMaterialType,lace and lycra,1
belongsToCategory,upperbody,hasMaterialType,lace and lycra,1
depicts,bra,hasMaterialType,lace and lycra,1
hasPattern,floral lace,hasOpeningType,back closure,1
hasLeatherType,non-existent,hasOpeningType,back closure,1
hasMaterialType,lace and lycra,hasOpeningType,back closure,1
hasPocketType,non-existent,hasOpeningType,back closure,1
hasNeckline,sweetheart,hasOpeningType,back closure,1
hasLapelType,non-existent,hasOpeningType,back closure,1
hasCollarType,non-existent,hasOpeningType,back closure,1
hasLength,fitted,hasOpeningType,back closure,1
hasSilhouette,push-up,hasOpeningType,back closure,1
hasPattern,floral lace,hasPocketType,non-existent,1
hasFabricTreatment,stretchy,hasPocketType,non-existent,1
hasMaterialType,lace and lycra,hasPocketType,non-existent,1
hasOpeningType,back closure,hasPocketType,non-existent,1
hasSleeveType,sleeveless,hasPocketType,non-existent,1
hasNeckline,sweetheart,hasPocketType,non-existent,1
hasLength,fitted,hasPocketType,non-existent,1
hasWaistline,natural,hasPocketType,non-existent,1
hasSilhouette,push-up,hasPocketType,non-existent,1
belongsToCategory,upperbody,hasPocketType,non-existent,1
depicts,bra,hasPocketType,non-existent,1
hasPattern,floral lace,hasSleeveType,sleeveless,1
hasLeatherType,non-existent,hasSleeveType,sleeveless,1
hasMaterialType,lace and lycra,hasSleeveType,sleeveless,1
hasPocketType,non-existent,hasSleeveType,sleeveless,1
hasLapelType,non-existent,hasSleeveType,sleeveless,1
hasCollarType,non-existent,hasSleeveType,sleeveless,1
hasLength,fitted,hasSleeveType,sleeveless,1
hasPattern,floral lace,hasNeckline,sweetheart,1
hasLeatherType,non-existent,hasNeckline,sweetheart,1
hasMaterialType,lace and lycra,hasNeckline,sweetheart,1
hasOpeningType,back closure,hasNeckline,sweetheart,1
hasPocketType,non-existent,hasNeckline,sweetheart,1
hasLapelType,non-existent,hasNeckline,sweetheart,1
hasCollarType,non-existent,hasNeckline,sweetheart,1
hasLength,fitted,hasNeckline,sweetheart,1
hasSilhouette,push-up,hasNeckline,sweetheart,1
hasPattern,floral lace,hasLapelType,non-existent,1
hasFabricTreatment,stretchy,hasLapelType,non-existent,1
hasMaterialType,lace and lycra,hasLapelType,non-existent,1
hasOpeningType,back closure,hasLapelType,non-existent,1
hasSleeveType,sleeveless,hasLapelType,non-existent,1
hasNeckline,sweetheart,hasLapelType,non-existent,1
hasLength,fitted,hasLapelType,non-existent,1
hasWaistline,natural,hasLapelType,non-existent,1
hasSilhouette,push-up,hasLapelType,non-existent,1
belongsToCategory,upperbody,hasLapelType,non-existent,1
depicts,bra,hasLapelType,non-existent,1
hasPattern,floral lace,hasCollarType,non-existent,1
hasFabricTreatment,stretchy,hasCollarType,non-existent,1
hasMaterialType,lace and lycra,hasCollarType,non-existent,1
hasOpeningType,back closure,hasCollarType,non-existent,1
hasSleeveType,sleeveless,hasCollarType,non-existent,1
hasNeckline,sweetheart,hasCollarType,non-existent,1
hasLength,fitted,hasCollarType,non-existent,1
hasWaistline,natural,hasCollarType,non-existent,1
hasSilhouette,push-up,hasCollarType,non-existent,1
belongsToCategory,upperbody,hasCollarType,non-existent,1
depicts,bra,hasCollarType,non-existent,1
hasPattern,floral lace,hasLength,fitted,1
hasFabricTreatment,stretchy,hasLength,fitted,1
hasLeatherType,non-existent,hasLength,fitted,1
hasMaterialType,lace and lycra,hasLength,fitted,1
hasOpeningType,back closure,hasLength,fitted,1
hasPocketType,non-existent,hasLength,fitted,1
hasSleeveType,sleeveless,hasLength,fitted,1
hasNeckline,sweetheart,hasLength,fitted,1
hasLapelType,non-existent,hasLength,fitted,1
hasCollarType,non-existent,hasLength,fitted,1
hasWaistline,natural,hasLength,fitted,1
hasSilhouette,push-up,hasLength,fitted,1
belongsToCategory,upperbody,hasLength,fitted,1
depicts,bra,hasLength,fitted,1
hasPattern,floral lace,hasWaistline,natural,1
hasLeatherType,non-existent,hasWaistline,natural,1
hasMaterialType,lace and lycra,hasWaistline,natural,1
hasPocketType,non-existent,hasWaistline,natural,1
hasLapelType,non-existent,hasWaistline,natural,1
hasCollarType,non-existent,hasWaistline,natural,1
hasLength,fitted,hasWaistline,natural,1
hasPattern,floral lace,hasSilhouette,push-up,1
hasFabricTreatment,stretchy,hasSilhouette,push-up,1
hasLeatherType,non-existent,hasSilhouette,push-up,1
hasMaterialType,lace and lycra,hasSilhouette,push-up,1
hasOpeningType,back closure,hasSilhouette,push-up,1
hasPocketType,non-existent,hasSilhouette,push-up,1
hasNeckline,sweetheart,hasSilhouette,push-up,1
hasLapelType,non-existent,hasSilhouette,push-up,1
hasCollarType,non-existent,hasSilhouette,push-up,1
hasLength,fitted,hasSilhouette,push-up,1
hasPattern,floral lace,belongsToCategory,upperbody,1
hasLeatherType,non-existent,belongsToCategory,upperbody,1
hasMaterialType,lace and lycra,belongsToCategory,upperbody,1
hasPocketType,non-existent,belongsToCategory,upperbody,1
hasLapelType,non-existent,belongsToCategory,upperbody,1
hasCollarType,non-existent,belongsToCategory,upperbody,1
hasLength,fitted,belongsToCategory,upperbody,1
hasPattern,floral lace,depicts,bra,1
hasLeatherType,non-existent,depicts,bra,1
hasMaterialType,lace and lycra,depicts,bra,1
hasPocketType,non-existent,depicts,bra,1
hasLapelType,non-existent,depicts,bra,1
hasCollarType,non-existent,depicts,bra,1
hasLength,fitted,depicts,bra,1
hasMaterialType,nylon or lycra blend,hasFabricTreatment,stretchy,1
hasFabricTreatment,stretchy,hasMaterialType,nylon or lycra blend,1
hasOpeningType,back closure,hasMaterialType,nylon or lycra blend,1
hasSleeveType,sleeveless,hasMaterialType,nylon or lycra blend,1
hasNeckline,v-neck,hasMaterialType,nylon or lycra blend,1
hasLength,body-hugging,hasMaterialType,nylon or lycra blend,1
hasWaistline,natural,hasMaterialType,nylon or lycra blend,1
hasSilhouette,fitted,hasMaterialType,nylon or lycra blend,1
belongsToCategory,upperbody,hasMaterialType,nylon or lycra blend,1
depicts,bra,hasMaterialType,nylon or lycra blend,1
hasMaterialType,nylon or lycra blend,hasOpeningType,back closure,1
hasMaterialType,nylon or lycra blend,hasSleeveType,sleeveless,1
hasLength,body-hugging,hasSleeveType,sleeveless,1
hasMaterialType,nylon or lycra blend,hasNeckline,v-neck,1
hasLength,body-hugging,hasNeckline,v-neck,1
hasMaterialType,nylon or lycra blend,hasLength,body-hugging,1
hasSleeveType,sleeveless,hasLength,body-hugging,1
hasNeckline,v-neck,hasLength,body-hugging,1
hasMaterialType,nylon or lycra blend,hasWaistline,natural,1
hasMaterialType,nylon or lycra blend,hasSilhouette,fitted,1
hasMaterialType,nylon or lycra blend,belongsToCategory,upperbody,1
hasMaterialType,nylon or lycra blend,depicts,bra,1
hasOpeningType,front opening,hasPattern,floral,1
hasNeckline,sweetheart,hasPattern,floral,1
hasOpeningType,front opening,hasFabricTreatment,stretchy,1
hasPattern,floral,hasOpeningType,front opening,1
hasFabricTreatment,stretchy,hasOpeningType,front opening,1
hasNeckline,sweetheart,hasOpeningType,front opening,1
hasSilhouette,fitted,hasOpeningType,front opening,1
hasPattern,floral,hasNeckline,sweetheart,1
hasOpeningType,front opening,hasNeckline,sweetheart,1
hasOpeningType,front opening,hasSilhouette,fitted,1
hasMaterialType,fabric,hasPattern,striped,1
hasPocketType,no pocket,hasPattern,striped,1
hasLength,mid-rise,hasPattern,striped,1
hasOpeningType,back opening,hasFabricTreatment,stretchy,1
hasPocketType,no pocket,hasFabricTreatment,stretchy,1
hasLength,mid-rise,hasFabricTreatment,stretchy,1
hasPattern,striped,hasMaterialType,fabric,1
hasOpeningType,back opening,hasMaterialType,fabric,1
hasPocketType,no pocket,hasMaterialType,fabric,1
hasLength,mid-rise,hasMaterialType,fabric,1
hasFabricTreatment,stretchy,hasOpeningType,back opening,1
hasMaterialType,fabric,hasOpeningType,back opening,1
hasPocketType,no pocket,hasOpeningType,back opening,1
hasLength,mid-rise,hasOpeningType,back opening,1
hasPattern,striped,hasPocketType,no pocket,1
hasFabricTreatment,stretchy,hasPocketType,no pocket,1
hasMaterialType,fabric,hasPocketType,no pocket,1
hasOpeningType,back opening,hasPocketType,no pocket,1
hasSleeveType,sleeveless,hasPocketType,no pocket,1
hasNeckline,v-neck,hasPocketType,no pocket,1
hasLength,mid-rise,hasPocketType,no pocket,1
hasWaistline,natural,hasPocketType,no pocket,1
hasSilhouette,fitted,hasPocketType,no pocket,1
belongsToCategory,upperbody,hasPocketType,no pocket,1
depicts,bra,hasPocketType,no pocket,1
hasPocketType,no pocket,hasSleeveType,sleeveless,1
hasLength,mid-rise,hasSleeveType,sleeveless,1
hasPocketType,no pocket,hasNeckline,v-neck,1
hasLength,mid-rise,hasNeckline,v-neck,1
hasPattern,striped,hasLength,mid-rise,1
hasFabricTreatment,stretchy,hasLength,mid-rise,1
hasMaterialType,fabric,hasLength,mid-rise,1
hasOpeningType,back opening,hasLength,mid-rise,1
hasPocketType,no pocket,hasLength,mid-rise,1
hasSleeveType,sleeveless,hasLength,mid-rise,1
hasNeckline,v-neck,hasLength,mid-rise,1
hasWaistline,natural,hasLength,mid-rise,1
hasSilhouette,fitted,hasLength,mid-rise,1
belongsToCategory,upperbody,hasLength,mid-rise,1
depicts,bra,hasLength,mid-rise,1
hasPocketType,no pocket,hasWaistline,natural,1
hasLength,mid-rise,hasWaistline,natural,1
hasPocketType,no pocket,hasSilhouette,fitted,1
hasLength,mid-rise,hasSilhouette,fitted,1
hasPocketType,no pocket,belongsToCategory,upperbody,1
hasLength,mid-rise,belongsToCategory,upperbody,1
hasPocketType,no pocket,depicts,bra,1
hasLength,mid-rise,depicts,bra,1
hasLength,knee-length,hasPattern,striped,1
hasSilhouette,a-line,hasPattern,striped,1
hasLength,knee-length,hasMaterialType,cotton,1
hasLength,knee-length,hasOpeningType,button,1
hasLength,knee-length,hasSleeveType,short-sleeve,1
hasLength,knee-length,hasNeckline,v-neck,1
hasPattern,striped,hasLength,knee-length,1
hasMaterialType,cotton,hasLength,knee-length,1
hasOpeningType,button,hasLength,knee-length,1
hasSleeveType,short-sleeve,hasLength,knee-length,1
hasNeckline,v-neck,hasLength,knee-length,1
hasWaistline,natural,hasLength,knee-length,1
hasSilhouette,a-line,hasLength,knee-length,1
belongsToCategory,upperbody,hasLength,knee-length,1
depicts,bra,hasLength,knee-length,1
hasLength,knee-length,hasWaistline,natural,1
hasPattern,striped,hasSilhouette,a-line,1
hasLength,knee-length,hasSilhouette,a-line,1
hasLength,knee-length,belongsToCategory,upperbody,1
hasLength,knee-length,depicts,bra,1
hasCollarType,v-neck,hasFabricTreatment,plain weave,1
hasLength,short,hasFabricTreatment,plain weave,1
hasSleeveType,short,hasOpeningType,button,1
hasCollarType,v-neck,hasOpeningType,button,1
hasLength,short,hasOpeningType,button,1
hasOpeningType,button,hasSleeveType,short,1
hasCollarType,v-neck,hasSleeveType,short,1
hasSilhouette,regular,hasNeckline,v-neck,1
hasFabricTreatment,plain weave,hasCollarType,v-neck,1
hasOpeningType,button,hasCollarType,v-neck,1
hasSleeveType,short,hasCollarType,v-neck,1
hasLength,short,hasCollarType,v-neck,1
hasSilhouette,regular,hasCollarType,v-neck,1
hasFabricTreatment,plain weave,hasLength,short,1
hasOpeningType,button,hasLength,short,1
hasCollarType,v-neck,hasLength,short,1
hasSilhouette,regular,hasLength,short,1
depicts,shirt,hasLength,short,1
hasNeckline,v-neck,hasSilhouette,regular,1
hasCollarType,v-neck,hasSilhouette,regular,1
hasLength,short,hasSilhouette,regular,1
hasLength,short,depicts,shirt,1
hasLength,midriff-baring,hasPattern,striped,1
hasLength,midriff-baring,hasNeckline,plunging neckline,1
hasPattern,striped,hasLength,midriff-baring,1
hasNeckline,plunging neckline,hasLength,midriff-baring,1
hasOpeningType,zipper,hasFabricTreatment,plain weave,1
hasSleeveType,sleeveless,hasFabricTreatment,plain weave,1
hasNeckline,v-shaped,hasFabricTreatment,plain weave,1
depicts,vest,hasFabricTreatment,plain weave,1
hasNeckline,v-shaped,hasMaterialType,cotton,1
depicts,vest,hasMaterialType,cotton,1
hasFabricTreatment,plain weave,hasOpeningType,zipper,1
hasNeckline,v-shaped,hasOpeningType,zipper,1
hasLength,regular,hasOpeningType,zipper,1
hasSilhouette,regular,hasOpeningType,zipper,1
depicts,vest,hasOpeningType,zipper,1
hasFabricTreatment,plain weave,hasSleeveType,sleeveless,1
hasNeckline,v-shaped,hasSleeveType,sleeveless,1
hasSilhouette,regular,hasSleeveType,sleeveless,1
depicts,vest,hasSleeveType,sleeveless,1
hasFabricTreatment,plain weave,hasNeckline,v-shaped,1
hasMaterialType,cotton,hasNeckline,v-shaped,1
hasOpeningType,zipper,hasNeckline,v-shaped,1
hasSleeveType,sleeveless,hasNeckline,v-shaped,1
hasLength,regular,hasNeckline,v-shaped,1
hasSilhouette,regular,hasNeckline,v-shaped,1
depicts,vest,hasNeckline,v-shaped,1
hasOpeningType,zipper,hasLength,regular,1
hasNeckline,v-shaped,hasLength,regular,1
depicts,vest,hasLength,regular,1
depicts,vest,hasWaistline,natural,1
hasOpeningType,zipper,hasSilhouette,regular,1
hasSleeveType,sleeveless,hasSilhouette,regular,1
hasNeckline,v-shaped,hasSilhouette,regular,1
depicts,vest,hasSilhouette,regular,1
depicts,vest,belongsToCategory,upperbody,1
hasFabricTreatment,plain weave,depicts,vest,1
hasMaterialType,cotton,depicts,vest,1
hasOpeningType,zipper,depicts,vest,1
hasSleeveType,sleeveless,depicts,vest,1
hasNeckline,v-shaped,depicts,vest,1
hasLength,regular,depicts,vest,1
hasWaistline,natural,depicts,vest,1
hasSilhouette,regular,depicts,vest,1
belongsToCategory,upperbody,depicts,vest,1
hasSleeveType,spaghetti straps,hasPattern,solid color,1
hasNeckline,v-shaped,hasPattern,solid color,1
hasLength,body-hugging,hasPattern,solid color,1
hasNeckline,v-shaped,hasFabricTreatment,stretchy,1
hasSleeveType,spaghetti straps,hasMaterialType,fabric,1
hasNeckline,v-shaped,hasMaterialType,fabric,1
hasLength,body-hugging,hasMaterialType,fabric,1
hasNeckline,v-shaped,hasOpeningType,back closure,1
hasPattern,solid color,hasSleeveType,spaghetti straps,1
hasMaterialType,fabric,hasSleeveType,spaghetti straps,1
hasNeckline,v-shaped,hasSleeveType,spaghetti straps,1
hasPattern,solid color,hasNeckline,v-shaped,1
hasFabricTreatment,stretchy,hasNeckline,v-shaped,1
hasMaterialType,fabric,hasNeckline,v-shaped,1
hasOpeningType,back closure,hasNeckline,v-shaped,1
hasSleeveType,spaghetti straps,hasNeckline,v-shaped,1
hasLength,body-hugging,hasNeckline,v-shaped,1
hasSilhouette,fitted,hasNeckline,v-shaped,1
depicts,bra,hasNeckline,v-shaped,1
hasPattern,solid color,hasLength,body-hugging,1
hasMaterialType,fabric,hasLength,body-hugging,1
hasNeckline,v-shaped,hasLength,body-hugging,1
hasNeckline,v-shaped,hasSilhouette,fitted,1
hasNeckline,v-shaped,depicts,bra,1
hasMaterialType,fabric,hasFabricTreatment,stretch,1
hasOpeningType,back closure,hasFabricTreatment,stretch,1
hasNeckline,plunging,hasFabricTreatment,stretch,1
hasSilhouette,contour,hasFabricTreatment,stretch,1
depicts,bra,hasFabricTreatment,stretch,1
hasFabricTreatment,stretch,hasMaterialType,fabric,1
hasNeckline,plunging,hasMaterialType,fabric,1
hasLength,short,hasMaterialType,fabric,1
hasSilhouette,contour,hasMaterialType,fabric,1
hasFabricTreatment,stretch,hasOpeningType,back closure,1
hasSilhouette,contour,hasOpeningType,back closure,1
hasNeckline,plunging,hasSleeveType,sleeveless,1
hasSilhouette,contour,hasSleeveType,sleeveless,1
hasFabricTreatment,stretch,hasNeckline,plunging,1
hasMaterialType,fabric,hasNeckline,plunging,1
hasSleeveType,sleeveless,hasNeckline,plunging,1
hasLength,short,hasNeckline,plunging,1
hasSilhouette,contour,hasNeckline,plunging,1
hasMaterialType,fabric,hasLength,short,1
hasNeckline,plunging,hasLength,short,1
hasSilhouette,contour,hasLength,short,1
hasSilhouette,contour,hasWaistline,natural,1
hasFabricTreatment,stretch,hasSilhouette,contour,1
hasMaterialType,fabric,hasSilhouette,contour,1
hasOpeningType,back closure,hasSilhouette,contour,1
hasSleeveType,sleeveless,hasSilhouette,contour,1
hasNeckline,plunging,hasSilhouette,contour,1
hasLength,short,hasSilhouette,contour,1
hasWaistline,natural,hasSilhouette,contour,1
belongsToCategory,upperbody,hasSilhouette,contour,1
depicts,bra,hasSilhouette,contour,1
hasSilhouette,contour,belongsToCategory,upperbody,1
hasFabricTreatment,stretch,depicts,bra,1
hasSilhouette,contour,depicts,bra,1
hasOpeningType,hook and eye closure,hasFabricTreatment,stretchy,1
hasOpeningType,hook and eye closure,hasMaterialType,cotton,1
hasFabricTreatment,stretchy,hasOpeningType,hook and eye closure,1
hasMaterialType,cotton,hasOpeningType,hook and eye closure,1
hasSleeveType,sleeveless,hasOpeningType,hook and eye closure,1
hasNeckline,sweetheart,hasOpeningType,hook and eye closure,1
hasLength,short,hasOpeningType,hook and eye closure,1
hasWaistline,natural,hasOpeningType,hook and eye closure,1
hasSilhouette,fitted,hasOpeningType,hook and eye closure,1
belongsToCategory,upperbody,hasOpeningType,hook and eye closure,1
depicts,bra,hasOpeningType,hook and eye closure,1
hasOpeningType,hook and eye closure,hasSleeveType,sleeveless,1
hasOpeningType,hook and eye closure,hasNeckline,sweetheart,1
hasOpeningType,hook and eye closure,hasLength,short,1
hasOpeningType,hook and eye closure,hasWaistline,natural,1
hasOpeningType,hook and eye closure,hasSilhouette,fitted,1
hasOpeningType,hook and eye closure,belongsToCategory,upperbody,1
hasOpeningType,hook and eye closure,depicts,bra,1
hasNeckline,classic,hasMaterialType,cotton,1
hasCollarType,button down,hasMaterialType,cotton,1
hasNeckline,classic,hasSleeveType,short,1
hasCollarType,button down,hasSleeveType,short,1
hasMaterialType,cotton,hasNeckline,classic,1
hasSleeveType,short,hasNeckline,classic,1
hasCollarType,button down,hasNeckline,classic,1
hasLength,regular,hasNeckline,classic,1
hasWaistline,natural,hasNeckline,classic,1
hasSilhouette,regular,hasNeckline,classic,1
belongsToCategory,upperbody,hasNeckline,classic,1
depicts,shirt,hasNeckline,classic,1
hasMaterialType,cotton,hasCollarType,button down,1
hasSleeveType,short,hasCollarType,button down,1
hasNeckline,classic,hasCollarType,button down,1
hasLength,regular,hasCollarType,button down,1
hasWaistline,natural,hasCollarType,button down,1
hasSilhouette,regular,hasCollarType,button down,1
belongsToCategory,upperbody,hasCollarType,button down,1
depicts,shirt,hasCollarType,button down,1
hasNeckline,classic,hasLength,regular,1
hasCollarType,button down,hasLength,regular,1
hasNeckline,classic,hasWaistline,natural,1
hasCollarType,button down,hasWaistline,natural,1
hasNeckline,classic,hasSilhouette,regular,1
hasCollarType,button down,hasSilhouette,regular,1
hasNeckline,classic,belongsToCategory,upperbody,1
hasCollarType,button down,belongsToCategory,upperbody,1
hasNeckline,classic,depicts,shirt,1
hasCollarType,button down,depicts,shirt,1
hasLength,regular,hasFabricTreatment,stretchy,1
hasFabricTreatment,stretchy,hasLength,regular,1
depicts,bra,hasLength,regular,1
hasLength,regular,depicts,bra,1
hasMaterialType,nylon,hasFabricTreatment,stretch,1
hasOpeningType,v-neck,hasFabricTreatment,stretch,1
hasNeckline,v-neck,hasFabricTreatment,stretch,1
hasSilhouette,a-line,hasFabricTreatment,stretch,1
hasNickname,bra,hasFabricTreatment,stretch,1
depicts,t-shirt,hasFabricTreatment,stretch,1
hasFabricTreatment,stretch,hasMaterialType,nylon,1
hasOpeningType,v-neck,hasMaterialType,nylon,1
hasSilhouette,a-line,hasMaterialType,nylon,1
hasNickname,bra,hasMaterialType,nylon,1
depicts,t-shirt,hasMaterialType,nylon,1
hasFabricTreatment,stretch,hasOpeningType,v-neck,1
hasMaterialType,nylon,hasOpeningType,v-neck,1
hasSleeveType,sleeveless,hasOpeningType,v-neck,1
hasLength,short,hasOpeningType,v-neck,1
hasWaistline,natural,hasOpeningType,v-neck,1
hasSilhouette,a-line,hasOpeningType,v-neck,1
hasNickname,bra,hasOpeningType,v-neck,1
belongsToCategory,upperbody,hasOpeningType,v-neck,1
depicts,t-shirt,hasOpeningType,v-neck,1
hasOpeningType,v-neck,hasSleeveType,sleeveless,1
hasNickname,bra,hasSleeveType,sleeveless,1
depicts,t-shirt,hasSleeveType,sleeveless,1
hasFabricTreatment,stretch,hasNeckline,v-neck,1
hasNickname,bra,hasNeckline,v-neck,1
hasOpeningType,v-neck,hasLength,short,1
hasSilhouette,a-line,hasLength,short,1
hasNickname,bra,hasLength,short,1
depicts,t-shirt,hasLength,short,1
hasOpeningType,v-neck,hasWaistline,natural,1
hasNickname,bra,hasWaistline,natural,1
hasFabricTreatment,stretch,hasSilhouette,a-line,1
hasMaterialType,nylon,hasSilhouette,a-line,1
hasOpeningType,v-neck,hasSilhouette,a-line,1
hasLength,short,hasSilhouette,a-line,1
hasNickname,bra,hasSilhouette,a-line,1
hasFabricTreatment,stretch,hasNickname,bra,1
hasMaterialType,nylon,hasNickname,bra,1
hasOpeningType,v-neck,hasNickname,bra,1
hasSleeveType,sleeveless,hasNickname,bra,1
hasNeckline,v-neck,hasNickname,bra,1
hasLength,short,hasNickname,bra,1
hasWaistline,natural,hasNickname,bra,1
hasSilhouette,a-line,hasNickname,bra,1
belongsToCategory,upperbody,hasNickname,bra,1
depicts,t-shirt,hasNickname,bra,1
hasOpeningType,v-neck,belongsToCategory,upperbody,1
hasNickname,bra,belongsToCategory,upperbody,1
hasFabricTreatment,stretch,depicts,t-shirt,1
hasMaterialType,nylon,depicts,t-shirt,1
hasOpeningType,v-neck,depicts,t-shirt,1
hasSleeveType,sleeveless,depicts,t-shirt,1
hasLength,short,depicts,t-shirt,1
hasNickname,bra,depicts,t-shirt,1
hasFabricTreatment,plain weave,hasPattern,striped,1
hasPattern,striped,hasFabricTreatment,plain weave,1
hasCollarType,pointed-collar,hasFabricTreatment,plain weave,1
hasCollarType,pointed-collar,hasOpeningType,button,1
hasFabricTreatment,plain weave,hasCollarType,pointed-collar,1
hasOpeningType,button,hasCollarType,pointed-collar,1
hasLength,above the navel,hasPattern,striped,1
hasLength,above the navel,hasMaterialType,cotton,1
hasLength,above the navel,hasOpeningType,zipper,1
hasLength,above the navel,hasSleeveType,sleeveless,1
hasLength,above the navel,hasNeckline,v-neck,1
hasPattern,striped,hasLength,above the navel,1
hasMaterialType,cotton,hasLength,above the navel,1
hasOpeningType,zipper,hasLength,above the navel,1
